43.174.192.1:443#BR [优选高速] [156ms 12Mbps]
43.129.217.38:443#CN [优选高速] [1078ms 17Mbps]
193.134.209.3:443#HK [优选高速] [31ms 18Mbps]
160.16.57.18:443#JP [优选高速] [31ms 18Mbps]
85.149.220.251:443#JP [优选高速] [46ms 16Mbps]
168.93.214.9:443#JP [优选高速] [47ms 20Mbps]
185.200.64.11:443#JP [优选高速] [47ms 16Mbps]
119.28.162.39:8443#KR [优选高速] [47ms 20Mbps]
85.155.176.11:8443#KR [优选高速] [47ms 17Mbps]
129.154.50.72:8443#KR [优选高速] [47ms 16Mbps]
54.255.217.181:443#SG [优选高速] [78ms 13Mbps]
188.253.120.208:443#SG [优选高速] [78ms 13Mbps]
