95.174.68.179:8443#AE [155ms 8Mbps]
84.235.245.65:2096#AE [160ms 4Mbps]
90.156.220.194:2053#AE [236ms 0Mbps]
91.132.93.153:443#AE [262ms 1Mbps]
45.86.228.104:443#AE [1160ms 2Mbps]
84.235.250.237:443#AE [1175ms 1Mbps]
193.123.74.174:8443#AE [1177ms 0Mbps]
176.97.66.175:443#AE [1306ms 0Mbps]
185.186.77.54:443#AL [221ms 3Mbps]
103.167.234.26:443#AL [252ms 0Mbps]
89.125.139.115:443#AL [254ms 0Mbps]
152.53.100.13:443#AT [176ms 1Mbps]
159.195.141.56:8443#AT [183ms 6Mbps]
141.227.165.228:2053#AT [190ms 0Mbps]
159.195.141.48:8443#AT [199ms 0Mbps]
132.243.203.223:8443#AT [206ms 0Mbps]
159.195.115.30:443#AT [207ms 1Mbps]
132.243.203.244:8443#AT [211ms 1Mbps]
152.53.3.249:2096#AT [211ms 0Mbps]
54.253.0.63:443#AU [272ms 1Mbps]
158.180.5.171:443#AU [275ms 1Mbps]
152.69.169.24:443#AU [279ms 1Mbps]
3.27.159.64:443#AU [281ms 0Mbps]
209.38.82.114:443#AU [282ms 0Mbps]
45.32.243.13:443#AU [286ms 0Mbps]
45.32.191.198:443#AU [294ms 1Mbps]
168.138.8.162:443#AU [299ms 0Mbps]
85.185.86.111:2053#AZ [1392ms 1Mbps]
141.227.137.177:2053#BE [202ms 0Mbps]
141.227.186.38:2053#BE [209ms 1Mbps]
185.235.138.60:2053#BE [218ms 2Mbps]
141.227.186.221:2053#BE [229ms 0Mbps]
89.125.200.144:2053#BE [250ms 0Mbps]
89.125.200.19:443#BE [283ms 0Mbps]
192.71.249.186:443#BE [1218ms 2Mbps]
35.210.99.51:443#BE [1311ms 0Mbps]
217.217.227.126:443#BG [242ms 1Mbps]
185.223.253.172:443#BG [242ms 0Mbps]
185.203.119.101:443#BG [243ms 0Mbps]
91.216.104.209:2053#BG [246ms 2Mbps]
185.203.119.26:2053#BG [248ms 0Mbps]
185.162.10.111:2053#BG [249ms 0Mbps]
91.215.154.88:443#BG [252ms 0Mbps]
185.82.218.224:443#BG [254ms 0Mbps]
149.104.106.219:443#BH [1263ms 0Mbps]
38.180.78.255:443#BR [303ms 1Mbps]
94.131.19.16:443#BR [319ms 0Mbps]
43.174.192.1:443#BR [1168ms 4Mbps]
95.130.84.36:8443#BY [199ms 0Mbps]
185.179.82.246:443#BY [217ms 1Mbps]
212.60.4.134:443#BY [238ms 0Mbps]
80.71.159.199:8443#BY [257ms 0Mbps]
191.44.32.253:443#BY [259ms 1Mbps]
155.212.244.252:443#BY [1205ms 0Mbps]
93.85.236.9:443#BY [1242ms 1Mbps]
158.51.123.177:443#CA [164ms 0Mbps]
155.138.131.219:443#CA [188ms 2Mbps]
178.128.227.189:443#CA [192ms 1Mbps]
24.141.96.92:8443#CA [204ms 0Mbps]
172.105.26.26:2053#CA [205ms 1Mbps]
38.9.96.61:443#CA [210ms 1Mbps]
155.138.146.165:8443#CA [212ms 2Mbps]
40.233.99.248:443#CA [216ms 0Mbps]
80.68.159.43:443#CH [172ms 1Mbps]
91.90.193.54:443#CH [176ms 2Mbps]
89.127.196.14:443#CH [176ms 1Mbps]
185.237.225.26:8443#CH [186ms 1Mbps]
185.237.225.95:443#CH [186ms 0Mbps]
31.7.56.138:443#CH [188ms 1Mbps]
141.227.139.21:443#CH [191ms 1Mbps]
83.228.193.162:443#CH [194ms 0Mbps]
64.176.10.195:443#CL [316ms 0Mbps]
64.176.9.246:443#CL [1350ms 0Mbps]
183.14.214.138:8443#CN [35ms 7Mbps]
171.83.48.117:8443#CN [1035ms 4Mbps]
111.31.95.41:8443#CN [1041ms 1Mbps]
213.111.177.107:443#CY [295ms 1Mbps]
46.28.70.105:8443#CZ [165ms 1Mbps]
85.255.15.65:2053#CZ [200ms 0Mbps]
89.125.106.121:443#CZ [203ms 2Mbps]
62.233.57.80:443#CZ [206ms 1Mbps]
37.205.15.169:443#CZ [208ms 3Mbps]
185.253.46.27:443#CZ [229ms 0Mbps]
46.28.70.117:443#CZ [232ms 0Mbps]
109.172.8.74:443#CZ [238ms 0Mbps]
8.134.218.35:443#DE [31ms 11Mbps]
45.147.48.115:2053#DE [157ms 9Mbps]
178.22.26.180:443#DE [160ms 9Mbps]
188.95.70.31:8443#DE [161ms 10Mbps]
49.12.213.163:8443#DE [162ms 0Mbps]
46.225.139.245:443#DE [163ms 2Mbps]
136.243.86.81:2053#DE [164ms 1Mbps]
136.243.86.77:2053#DE [164ms 0Mbps]
92.113.150.186:8443#DK [184ms 3Mbps]
92.113.146.87:8443#DK [184ms 2Mbps]
193.180.208.169:8443#DK [209ms 5Mbps]
93.92.112.187:2083#DK [212ms 2Mbps]
92.113.146.87:443#DK [213ms 2Mbps]
193.181.216.117:2053#DK [217ms 6Mbps]
45.148.30.11:443#DK [219ms 1Mbps]
193.181.217.70:2053#DK [223ms 6Mbps]
181.36.229.212:2083#DO [253ms 3Mbps]
153.56.171.219:2053#EE [179ms 0Mbps]
5.101.114.88:8443#EE [190ms 1Mbps]
153.56.171.124:2053#EE [196ms 1Mbps]
153.56.171.124:8443#EE [196ms 1Mbps]
46.36.217.167:443#EE [202ms 1Mbps]
5.188.16.113:443#EE [207ms 2Mbps]
5.101.181.135:8443#EE [215ms 5Mbps]
5.101.180.125:8443#EE [219ms 1Mbps]
38.54.59.70:443#EG [314ms 0Mbps]
92.178.109.187:443#ES [215ms 0Mbps]
141.227.129.211:2053#ES [219ms 0Mbps]
31.57.190.26:443#ES [224ms 2Mbps]
188.213.5.74:443#ES [226ms 1Mbps]
31.57.190.9:443#ES [228ms 0Mbps]
31.57.190.10:443#ES [236ms 0Mbps]
5.134.119.210:443#ES [237ms 1Mbps]
31.57.190.64:443#ES [238ms 0Mbps]
37.27.220.64:443#FI [184ms 0Mbps]
95.217.237.91:443#FI [185ms 1Mbps]
46.243.6.25:443#FI [190ms 1Mbps]
65.21.147.73:8443#FI [195ms 1Mbps]
65.109.95.205:2053#FI [195ms 0Mbps]
94.237.8.239:443#FI [196ms 1Mbps]
91.217.76.147:2053#FI [196ms 0Mbps]
111.88.215.50:443#FI [197ms 0Mbps]
169.58.8.139:8443#FR [167ms 0Mbps]
31.56.228.210:8443#FR [172ms 1Mbps]
188.130.207.30:2053#FR [172ms 1Mbps]
217.60.63.206:8443#FR [176ms 1Mbps]
31.56.228.7:2053#FR [177ms 1Mbps]
95.182.96.42:8443#FR [179ms 7Mbps]
84.247.171.77:8443#FR [181ms 1Mbps]
31.59.103.72:443#FR [181ms 0Mbps]
185.248.86.218:443#GB [175ms 9Mbps]
57.128.183.35:8443#GB [180ms 0Mbps]
194.60.86.88:443#GB [191ms 0Mbps]
194.146.123.221:8443#GB [194ms 1Mbps]
35.176.187.206:443#GB [207ms 1Mbps]
86.185.101.240:8443#GB [207ms 1Mbps]
185.132.37.20:8443#GB [208ms 5Mbps]
130.185.249.139:443#GB [208ms 2Mbps]
94.43.238.112:2083#GE [324ms 0Mbps]
94.43.238.112:2053#GE [337ms 0Mbps]
206.53.48.205:443#GE [1281ms 1Mbps]
91.250.248.223:443#GR [231ms 1Mbps]
94.131.16.65:443#GR [232ms 0Mbps]
94.131.16.36:443#GR [241ms 1Mbps]
94.131.16.25:443#GR [252ms 1Mbps]
38.54.29.210:2053#GR [302ms 0Mbps]
45.10.190.30:443#GR [306ms 0Mbps]
43.161.254.71:443#HK [23ms 0Mbps]
23.147.172.135:443#HK [26ms 1Mbps]
38.55.195.57:443#HK [优选高速] [27ms 20Mbps]
34.92.9.131:8443#HK [优选高速] [27ms 16Mbps]
38.55.107.91:443#HK [27ms 0Mbps]
45.153.130.61:2053#HK [优选高速] [32ms 26Mbps]
91.110.174.202:8443#HK [32ms 5Mbps]
191.222.219.124:2053#HK [32ms 0Mbps]
91.219.236.136:2053#HU [199ms 0Mbps]
37.221.210.113:443#HU [224ms 1Mbps]
37.221.210.113:8443#HU [232ms 0Mbps]
38.180.108.148:443#HU [1187ms 2Mbps]
43.173.1.153:8443#ID [217ms 0Mbps]
202.155.95.132:443#ID [1359ms 0Mbps]
